,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
425,367702040.0,2023-01-01T00:00:03,37.04146,-88.53492,0.0,296.9,149.0,CAPT BUCK LAY,,WDI4792,31.0,0.0,51.0,12.0,,31.0,A
426,366979030.0,2023-01-01T00:00:03,40.68646,-74.07794,0.0,187.6,511.0,PAUL ANDREW,,WCP2545,31.0,12.0,19.0,7.0,,52.0,A
427,367008390.0,2023-01-01T00:00:04,29.32711,-94.78024,0.0,264.7,511.0,MASTER DYLAN,,WDC3472,31.0,0.0,18.0,8.0,,52.0,A
428,367155550.0,2023-01-01T00:00:01,30.12477,-89.67747,0.0,17.4,257.0,RENEE T WHATLEY,,WDD5243,31.0,0.0,22.0,8.0,,57.0,A
429,367437150.0,2023-01-01T00:00:06,29.36939,-94.88997,0.0,128.0,357.0,SCOTT CAMP,,WDF3203,31.0,0.0,26.0,9.0,,31.0,A
430,367777460.0,2023-01-01T00:00:03,27.84686,-82.4446,12.2,5.1,3.0,INDEPENDENT,IMO9826419,WDJ4411,31.0,15.0,,,,52.0,A
431,368028980.0,2023-01-01T00:00:00,41.30482,-72.90542,0.0,243.8,511.0,DANIELLE MILLER,,WDJ9747,79.0,0.0,43.0,11.0,3.0,79.0,A
432,367796040.0,2023-01-01T00:00:04,40.6862,-74.07758,0.0,39.9,205.0,SEA FOX,IMO7129465,WDJ6265,31.0,0.0,22.0,7.0,,31.0,A
433,368014430.0,2023-01-01T00:00:03,27.84105,-97.51044,0.0,263.8,127.0,ANGELA RENEE,IMO974700000,WDJ8234,31.0,12.0,23.0,11.0,2.9,31.0,A
434,367468610.0,2023-01-01T00:00:03,29.7601,-91.6622,5.9,89.7,511.0,MR WAYNE,,WDF5912,31.0,0.0,18.0,7.0,,31.0,A
435,538009453.0,2023-01-01T00:00:04,45.91195,-122.80859,10.6,1.2,0.0,EOLOS G,IMO9623738,V7A4767,70.0,0.0,229.0,32.0,13.1,70.0,A
436,316001633.0,2023-01-01T00:00:02,42.92634,-79.24013,5.3,191.1,190.0,CSL ASSINIBOINE,IMO7413218,VCKQ,70.0,0.0,225.0,23.0,9.0,70.0,A
437,311012300.0,2023-01-01T00:00:09,26.7336,-90.65442,5.0,180.4,186.0,POLARCUS ALIMA,IMO9538139,C6XK4,90.0,3.0,92.0,21.0,7.5,79.0,A
438,367423260.0,2023-01-01T00:00:09,30.28587,-89.16867,0.7,60.7,100.0,WILLIAM,,WDF2392,31.0,0.0,21.0,9.0,,57.0,A
439,367606860.0,2023-01-01T00:00:01,29.96661,-93.85817,0.0,255.0,511.0,HAYLEY MORAN,IMO9717321,WDH3383,31.0,0.0,28.0,12.0,3.2,52.0,A
440,367102030.0,2023-01-01T00:00:00,29.91755,-89.92752,0.1,307.3,511.0,OMAHA,,WDC9423,31.0,15.0,20.0,7.0,,50.0,A
441,368131890.0,2023-01-01T00:00:07,29.40006,-94.75156,0.1,12.2,57.0,AYDEN PHILIP,IMO1001281793,WDL4486,57.0,12.0,115.0,34.0,3.1,57.0,A
442,368158760.0,2023-01-01T00:00:05,29.56451,-90.72357,0.1,190.5,511.0,REDDING C,,WDL7279,95.0,0.0,20.0,8.0,2.7,95.0,A
443,338320514.0,2023-01-01T00:00:06,25.93311,-80.14039,0.0,360.0,289.0,BLUE DAKSA,,,0.0,15.0,22.0,6.0,0.0,0.0,A
444,316003600.0,2023-01-01T00:00:03,49.29467,-123.1185,0.0,333.0,160.0,SEASPAN ROYAL,IMO8020018,VY7102,31.0,0.0,43.0,11.0,5.9,52.0,A
445,367033250.0,2023-01-01T00:00:09,27.85249,-97.17184,0.0,79.6,511.0,KYLE JOSEPH,,WDC4945,31.0,0.0,21.0,8.0,1.7,31.0,A
446,366995370.0,2023-01-01T00:00:05,30.37562,-91.22723,0.0,47.0,112.0,MISS RACHEL,IMO8635423,WDC2593,31.0,12.0,19.0,7.0,,52.0,A
447,367376640.0,2023-01-01T00:00:06,38.40775,-82.57476,0.9,119.0,295.0,MAP RUNNER,,WDE6160,31.0,0.0,19.0,7.0,,57.0,A
448,368082340.0,2023-01-01T00:00:06,35.1899,-75.78041,0.0,90.1,112.0,RODANTHE,IMO9841112,WDK7223,65.0,0.0,53.0,18.0,4.0,65.0,A
449,366773410.0,2023-01-01T00:00:07,43.68008,-124.17918,0.0,222.8,511.0,OSSIAN,,WDF2623,30.0,15.0,25.0,7.0,0.0,30.0,A
450,367651810.0,2023-01-01T00:00:03,29.76761,-95.07811,0.0,227.2,41.0,KATE GOLDING,,WDH7802,31.0,0.0,22.0,,,52.0,A
451,369533000.0,2023-01-01T00:00:07,28.55876,-90.18558,10.7,177.9,178.0,LIGHTNING,IMO9690389,WDI2266,90.0,0.0,76.0,18.0,6.3,70.0,A
452,367008750.0,2023-01-01T00:00:03,30.059,-93.35477,0.0,173.0,168.0,M L CROCHET,,WCW9456,31.0,0.0,18.0,7.0,,52.0,A
453,240840000.0,2023-01-01T00:00:03,31.83087,-118.20337,9.3,357.0,357.0,CAP THEODORA,IMO9380740,SVAM5,80.0,3.0,274.0,48.0,17.0,89.0,A
454,368008820.0,2023-01-01T00:00:08,48.37565,-122.50663,0.0,198.6,1.0,SWIN 1,IMO0000000,,90.0,,10.0,4.0,,,B
455,367672390.0,2023-01-01T00:00:04,47.65633,-122.36662,0.0,292.0,137.0,MUIR MILACH,IMO7823425,WDH9870,30.0,0.0,26.0,7.0,2.7,30.0,A
456,366984850.0,2023-01-01T00:00:09,39.78653,-90.60065,0.0,132.5,40.0,COOP VENTURE,,WDB9901,31.0,12.0,47.0,12.0,,57.0,A
457,367008680.0,2023-01-01T00:00:09,30.08587,-93.33062,0.0,318.8,511.0,GRACIE CLAIRE,,WDC3485,31.0,12.0,13.0,6.0,,52.0,A
458,367711450.0,2023-01-01T00:00:13,28.74708,-95.70351,1.7,68.2,511.0,CAPT ED,,WDI5723,31.0,0.0,20.0,8.0,,52.0,A
459,367087140.0,2023-01-01T00:00:06,27.8276,-97.02531,1.9,119.1,107.0,GLENN EDWARDS,IMO9329045,WDC8439,90.0,3.0,118.0,23.0,,33.0,A
460,366972270.0,2023-01-01T00:00:04,29.47646,-94.6206,0.0,237.1,511.0,CAPT AL DEVALL,,WCW9164,31.0,0.0,16.0,6.0,,31.0,A
461,224983000.0,2023-01-01T00:00:01,27.59762,-96.51794,19.2,297.1,296.0,ADRIANO KNUTSEN,IMO9831220,EBRY,80.0,0.0,299.0,48.0,11.8,80.0,A
462,366993380.0,2023-01-01T00:00:03,30.23928,-91.12617,0.0,335.3,511.0,GRACE NICOLE,,WDC2451,31.0,0.0,25.0,9.0,,52.0,A
463,368067780.0,2023-01-01T00:00:03,41.49104,-81.71877,0.0,347.9,511.0,OHIO,,WDK5734,52.0,15.0,18.0,7.0,0.0,52.0,A
464,367188610.0,2023-01-01T00:00:09,27.94184,-82.44902,0.0,0.0,511.0,STARSHIP II,,WDD7601,60.0,0.0,35.0,7.0,,60.0,A
465,367401960.0,2023-01-01T00:00:04,36.7975,-76.29159,0.1,219.7,511.0,CAJUN,IMO8334055,WDE8132,31.0,0.0,21.0,7.0,,52.0,A
466,367057530.0,2023-01-01T00:00:02,29.92362,-89.95233,5.5,274.2,273.0,SONNY IVEY,,WDC6528,31.0,12.0,40.0,10.0,,57.0,A
467,368273040.0,2023-01-01T00:00:01,37.14377,-89.09452,3.5,18.6,20.0,TAMMY OUTLAW,IMO0006608,WDJ7199,57.0,12.0,337.0,33.0,2.9,57.0,A
468,366404000.0,2023-01-01T00:00:06,21.3527,-157.95159,0.0,153.3,211.0,CAROLYN CHOUEST,IMO8875384,WCP5628,90.0,5.0,72.0,15.0,4.6,90.0,A
469,367316510.0,2023-01-01T00:00:07,41.6375,-70.90697,0.0,360.0,98.0,ZIBET,IMO8969898,WDD9800,30.0,15.0,26.0,7.0,,30.0,A
470,316003659.0,2023-01-01T00:00:06,48.91904,-123.61544,10.1,179.0,180.0,SEASPAN CAVALIER,IMO7434808,CZ5656,31.0,0.0,25.0,7.0,2.6,52.0,A
471,311378000.0,2023-01-01T00:00:02,23.27163,-83.09055,19.2,265.8,267.0,LEGEND OF THE SEAS,IMO9070620,C6SL5,60.0,0.0,264.0,37.0,7.7,60.0,A
472,367352630.0,2023-01-01T00:00:07,30.41796,-91.19734,0.3,185.0,511.0,JESSICA RYAN,,WDE4399,31.0,0.0,18.0,7.0,,31.0,A
473,366997220.0,2023-01-01T00:00:05,29.11246,-95.19536,6.0,222.3,219.0,JUDY S FRIED,,WDC2750,31.0,12.0,20.0,9.0,,57.0,A
474,367584630.0,2023-01-01T00:00:04,30.35787,-88.50579,0.0,360.0,511.0,MADISON GAIL,,WDG9129,60.0,0.0,22.0,5.0,,60.0,A
475,367675910.0,2023-01-01T00:00:04,28.74864,-95.77968,3.4,83.2,89.0,LINDSAY M NOBLES,,WDI2220,31.0,0.0,32.0,,,52.0,A
476,367519320.0,2023-01-01T00:00:07,29.27478,-94.9818,0.0,26.7,511.0,FATHER PAT,,WDG2791,31.0,12.0,23.0,,,57.0,A
477,316020998.0,2023-01-01T00:00:04,49.02036,-123.21821,8.9,296.0,297.0,OCEAN GRANVILLE,IMO9833632,,52.0,5.0,28.0,13.0,6.0,52.0,A
478,367500410.0,2023-01-01T00:00:03,28.6453,-96.94794,0.0,225.8,511.0,RICHARD J DEVALL,,WDF8965,31.0,15.0,17.0,6.0,,31.0,A
479,367010190.0,2023-01-01T00:00:02,40.68033,-74.03585,9.6,20.6,511.0,ATLANTIS,IMO8990990,WDC3559,60.0,0.0,44.0,9.0,2.0,60.0,A
480,368262180.0,2023-01-01T00:00:02,30.57387,-91.31116,3.9,298.4,307.0,TOM MCCOIN,IMO0003358,WDN2446,31.0,0.0,38.0,11.0,0.0,31.0,A
481,316001269.0,2023-01-01T00:00:01,48.90184,-123.25991,20.6,46.5,43.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0,0.0,167.0,32.0,5.0,60.0,A
482,366996570.0,2023-01-01T00:00:01,29.78745,-95.0701,6.0,322.8,310.0,LAMPASAS,,WDC2701,31.0,0.0,18.0,7.0,,52.0,A
483,367756280.0,2023-01-01T00:00:05,32.08182,-81.06537,0.0,198.5,258.0,ARKANSAS,,WDJ2212,31.0,15.0,,,,31.0,A
484,367656420.0,2023-01-01T00:00:03,29.83515,-93.95596,0.0,88.6,511.0,PINTO,,WDH8273,31.0,12.0,18.0,6.0,,57.0,A
485,367118440.0,2023-01-01T00:00:04,37.04851,-88.42723,0.0,312.3,68.0,CAPT JOHNNY COE,IMO5238224,WDD2677,31.0,0.0,44.0,10.0,,31.0,A
486,367498910.0,2023-01-01T00:00:04,29.56157,-91.23152,4.7,199.9,511.0,DELTA RULER,IMO8037164,WDF8818,31.0,5.0,20.0,7.0,,52.0,A
487,367152730.0,2023-01-01T00:00:03,29.8176,-90.00478,0.0,248.9,511.0,PRESAGER,IMO8851376,WDD5034,31.0,0.0,27.0,9.0,,52.0,A
488,366983830.0,2023-01-01T00:00:01,37.77141,-122.30008,0.0,0.0,94.0,PERALTA,IMO8968260,WDB9847,60.0,0.0,35.0,10.0,2.1,60.0,A
489,367319430.0,2023-01-01T00:00:05,31.00812,-91.63253,0.0,279.3,511.0,MISTER CUE,IMO8635447,WDE5811,31.0,0.0,16.0,6.0,,52.0,A
490,367779250.0,2023-01-01T00:00:05,40.76347,-74.00264,0.0,29.3,511.0,CIRCLE LINE STATEN I,,WDJ4600,60.0,0.0,,,,60.0,A
491,367766860.0,2023-01-01T00:00:07,33.75346,-118.22379,0.0,0.0,511.0,SEANA C,,WDJ3319,31.0,0.0,21.0,7.0,,52.0,A
492,367354540.0,2023-01-01T00:00:07,38.53974,-90.25042,0.0,360.0,511.0,CUMBERLAND EXPRESS,,WDE4537,31.0,0.0,21.0,9.0,,52.0,A
493,367165270.0,2023-01-01T00:00:07,47.66273,-122.3878,0.0,244.7,511.0,CAMAI,,WDD5880,30.0,0.0,33.0,10.0,,30.0,A
494,366998910.0,2023-01-01T00:00:04,29.96366,-93.86151,0.0,245.4,511.0,COMANCHE,,WDH8267,31.0,15.0,15.0,6.0,0.0,31.0,A
495,371765000.0,2023-01-01T00:00:01,28.079,-89.98367,0.1,168.0,270.0,WEST NEPTUNE,IMO9655028,3FQU8,90.0,3.0,227.0,44.0,12.0,90.0,A
496,367368460.0,2023-01-01T00:00:09,30.70475,-88.03949,0.1,347.1,355.0,GEORGIA,,WCZ9212,31.0,0.0,30.0,7.0,,52.0,A
497,367625190.0,2023-01-01T00:00:09,29.51828,-93.28468,0.0,232.4,511.0,GAR,IMO7832000,WDH5167,90.0,0.0,21.0,14.0,,90.0,A
498,366995450.0,2023-01-01T00:00:00,30.38003,-91.23411,3.1,24.8,27.0,DELOS CASE,,WDC2600,31.0,0.0,19.0,7.0,,52.0,A
499,316040257.0,2023-01-01T00:00:05,34.14141,-76.05274,7.5,225.4,228.0,HINCH SPIRIT,IMO9508940,VAHS,89.0,0.0,137.0,20.0,7.5,89.0,A
500,367608470.0,2023-01-01T00:00:06,29.37503,-94.86762,0.0,312.2,284.0,SAN SALVADOR,,WDH3551,31.0,12.0,26.0,,,57.0,A
501,368042990.0,2023-01-01T00:00:07,29.28545,-89.36024,0.2,145.0,511.0,P/V ASSISTANT,,WDK3212,50.0,15.0,16.0,5.0,0.0,50.0,A
502,367473540.0,2023-01-01T00:00:03,32.68997,-80.2236,0.0,5.1,511.0,ROYAL ENGINEER,,WDF6370,31.0,12.0,18.0,6.0,,0.0,A
503,366836590.0,2023-01-01T00:00:09,40.64053,-74.15232,1.0,166.4,511.0,ELLEN MCALLISTER,IMO8980892,WDG3673,31.0,15.0,33.0,9.0,4.3,52.0,A
504,311058700.0,2023-01-01T00:00:05,28.10553,-80.2983,19.0,145.6,148.0,DISNEY FANTASY,IMO9445590,C6ZL6,60.0,0.0,339.0,40.0,8.3,60.0,A
505,367744210.0,2023-01-01T00:00:02,40.43624,-80.00732,0.0,360.0,511.0,EMPRESS II,,WDI8992,31.0,15.0,14.0,,,99.0,A
506,367327250.0,2023-01-01T00:00:08,46.16854,-123.91403,0.0,0.0,511.0,ENDEAVOR,,WDE2605,30.0,7.0,19.0,6.0,,30.0,A
507,367373660.0,2023-01-01T00:00:06,39.57215,-76.10283,0.0,26.1,511.0,CAPTAIN TOM,,WCY7339,31.0,0.0,17.0,7.0,,52.0,A
508,367578830.0,2023-01-01T00:00:08,29.71082,-89.98554,0.1,250.5,511.0,CAPTAIN SAM,IMO8984587,WDG8563,31.0,0.0,21.0,8.0,,18.0,A
509,366969740.0,2023-01-01T00:00:09,37.90615,-122.40027,0.0,360.0,511.0,SOLANA,IMO8992637,WCY5602,31.0,0.0,19.0,7.0,,52.0,A
510,367003630.0,2023-01-01T00:00:04,30.0436,-90.63805,5.9,310.8,310.0,CSS VIRGINIA,,WDC3185,31.0,12.0,21.0,8.0,,52.0,A
511,367458640.0,2023-01-01T00:00:05,29.98063,-81.64719,0.0,275.4,511.0,RIO BRAVO,IMO8333207,WDF5037,31.0,0.0,30.0,9.0,4.5,32.0,A
512,367003620.0,2023-01-01T00:00:04,30.26692,-91.12916,0.0,204.1,511.0,CSS TENNESSEE,,WDC3184,31.0,15.0,17.0,7.0,,12.0,A
513,367049160.0,2023-01-01T00:00:02,34.22693,-77.95315,0.0,233.8,511.0,ERIN MCALLISTER,IMO9159701,WDC5963,31.0,0.0,29.0,9.0,3.5,52.0,A
514,338673000.0,2023-01-01T00:00:03,47.63599,-122.32888,0.0,315.0,129.0,SUNSET BAY,IMO7820150,WCZ6529,30.0,0.0,32.0,8.0,4.4,30.0,A
515,368036520.0,2023-01-01T00:00:03,36.9584,-89.09566,0.0,139.0,4.0,CHRIS REEVES,IMO1001266623,WDK2540,57.0,12.0,233.0,33.0,3.4,57.0,A
516,370574000.0,2023-01-01T00:00:01,30.03122,-90.69466,11.4,47.3,48.0,WELVIEW,IMO8901676,3ETI7,80.0,0.0,246.0,42.0,13.4,70.0,A
517,369235000.0,2023-01-01T00:00:09,39.71572,-75.51296,0.0,297.9,291.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,31.0,A
518,368270030.0,2023-01-01T00:00:06,35.36451,-90.08127,0.0,293.5,214.0,TIM GOLDING,,WDN3265,57.0,12.0,209.0,23.0,2.7,57.0,A
519,369499000.0,2023-01-01T00:00:06,47.55405,-122.65043,0.0,77.8,180.0,RICHARD E BYRD,IMO9300609,NBYR,90.0,5.0,210.0,32.0,9.7,90.0,A
520,367605530.0,2023-01-01T00:00:04,28.30651,-91.40764,8.8,79.5,77.0,PATIENCE LAB,IMO9563043,WDH3221,90.0,0.0,45.0,10.0,3.0,70.0,A
521,215183000.0,2023-01-01T00:00:06,35.65548,-121.55205,2.9,6.3,295.0,CMA CGM NEW JERSEY,IMO9351141,9HA4998,79.0,0.0,294.0,32.0,10.2,79.0,A
522,368217380.0,2023-01-01T00:00:06,29.96877,-93.85995,0.0,271.6,511.0,MFS SHIFTER,,WDM5593,31.0,0.0,17.0,8.0,0.0,31.0,A
523,367059310.0,2023-01-01T00:00:08,28.90355,-95.37076,0.0,202.0,326.0,EMS EXPRESS,,WDC6662,31.0,8.0,22.0,10.0,,57.0,A
524,366979510.0,2023-01-01T00:00:00,26.64995,-96.60437,0.8,313.2,511.0,SCAT CAT,,WYT8597,30.0,0.0,21.0,8.0,0.0,30.0,A
525,367652660.0,2023-01-01T00:00:09,29.73745,-93.88242,0.0,0.0,511.0,FOUR C'S,,WDH7891,60.0,0.0,22.0,5.0,,60.0,A
526,368072830.0,2023-01-01T00:00:05,31.01818,-91.7418,6.8,112.5,112.0,SYBLE FAY,,WDK6262,31.0,12.0,23.0,10.0,2.4,31.0,A
527,368117370.0,2023-01-01T00:00:06,40.73066,-74.01286,0.0,360.0,511.0,CORNUCOPIA DESTINY,,WDL2996,99.0,0.0,29.0,10.0,2.0,99.0,A
528,229202000.0,2023-01-01T00:00:05,29.36303,-89.44117,12.2,108.5,110.0,DENSA HAWK,IMO9649093,9HA3146,70.0,0.0,187.0,27.0,10.9,70.0,A
529,367779890.0,2023-01-01T00:00:04,29.35638,-94.80751,4.1,56.4,53.0,MAVERICK J,,WDJ4664,31.0,12.0,20.0,,,57.0,A
530,247434600.0,2023-01-01T00:00:01,32.76232,-118.98835,12.6,294.2,290.0,VALLE SOLE,IMO9635781,ICIO,89.0,0.0,183.0,32.0,8.5,89.0,A
531,367529420.0,2023-01-01T00:00:04,47.57364,-122.35761,0.1,284.3,511.0,ISLAND VENTURE,IMO7730525,WDG3765,31.0,0.0,31.0,10.0,3.7,0.0,A
532,416497000.0,2023-01-01T00:00:02,36.15148,-122.55098,12.6,330.4,323.0,EVER LUNAR,IMO9629093,BKKF,70.0,0.0,334.0,45.0,14.2,74.0,A
533,368141380.0,2023-01-01T00:00:06,29.36348,-94.9088,0.0,344.6,90.0,GRAND ISLE,,WDL 547,57.0,0.0,114.0,17.0,2.8,57.0,A
534,367146780.0,2023-01-01T00:00:06,29.78473,-95.06725,0.0,221.6,119.0,ROBERT G STONE JR,,WDD4596,31.0,12.0,25.0,10.0,,57.0,A
535,319762000.0,2023-01-01T00:00:05,25.78498,-80.1798,0.0,0.0,511.0,M/Y SAINT NICOLAS,IMO1008918,ZCPZ 3,37.0,0.0,70.0,13.0,3.7,37.0,A
536,338305000.0,2023-01-01T00:00:04,36.96864,-76.09297,9.9,287.0,286.0,MARIYA MORAN,IMO9764128,WDH8622,31.0,12.0,36.0,10.0,4.9,52.0,A
537,367420450.0,2023-01-01T00:00:01,29.94559,-90.17175,0.0,360.0,511.0,JENNIE K,,WDE9719,31.0,0.0,42.0,12.0,,57.0,A
538,367359250.0,2023-01-01T00:00:03,30.25025,-88.07168,7.2,286.6,511.0,FT MORGAN,,WDE4893,60.0,0.0,42.0,9.0,,60.0,A
539,366893680.0,2023-01-01T00:00:14,26.11722,-80.1383,0.1,144.7,511.0,WANDERBIRD,,WDB4006,37.0,5.0,19.0,5.0,,37.0,A
540,319524000.0,2023-01-01T00:00:17,32.70417,-117.162,0.0,225.0,219.0,DYTAN,IMO9560792,ZCYG3,37.0,5.0,74.0,12.0,3.7,37.0,A
541,316021988.0,2023-01-01T00:00:01,49.29497,-123.13325,0.0,280.0,511.0,CONSTITUTION,,VY9477,60.0,15.0,,,,60.0,A
542,366903920.0,2023-01-01T00:00:04,30.36825,-88.56654,0.0,290.8,55.0,PAUL T MORAN,IMO7390777,WDB4930,31.0,0.0,45.0,12.0,6.1,52.0,A
543,368177450.0,2023-01-01T00:00:00,33.21424,-77.90801,9.4,243.1,232.0,RUBY COAST,,WDL9259,52.0,11.0,43.0,20.0,5.5,52.0,A
544,341595000.0,2023-01-01T00:00:04,39.25898,-74.99113,0.1,283.6,511.0,LEGACY,IMO8227501,V4UG4,52.0,0.0,32.0,8.0,4.3,52.0,A
545,367070480.0,2023-01-01T00:00:03,17.74734,-64.69903,0.0,324.4,511.0,SIGNET VOLUNTEER,IMO8963208,WDC7377,31.0,0.0,21.0,7.0,,10.0,A
546,367508680.0,2023-01-01T00:00:05,29.12199,-90.20624,0.0,239.0,511.0,CROSBY INTEGRITY,IMO9264427,WDH3351,31.0,0.0,30.0,10.0,4.6,32.0,A
547,428403000.0,2023-01-01T00:00:02,40.78072,-68.76854,10.4,254.9,250.0,ZIM YOKOHAMA,IMO9322346,4XFD,71.0,0.0,0.0,0.0,10.8,71.0,A
548,367511230.0,2023-01-01T00:00:05,39.37786,-74.42697,0.0,360.0,511.0,SAGINAW RIVER,,WDG2013,90.0,0.0,16.0,,,33.0,A
549,367393020.0,2023-01-01T00:00:02,29.36483,-94.89224,0.0,77.7,247.0,EMMA M SAVAGE,,WDE7411,31.0,12.0,27.0,10.0,,57.0,A
550,367728230.0,2023-01-01T00:00:04,34.68166,-90.56833,3.6,6.2,354.0,DONNY NOLAN,,WDI7388,31.0,12.0,28.0,10.0,,57.0,A
551,367199750.0,2023-01-01T00:00:02,38.25928,-85.75566,0.0,0.0,511.0,BELLE OF LOUISVILLE,,WF6270,60.0,15.0,52.0,14.0,,6.0,A
552,366946090.0,2023-01-01T00:00:04,40.73037,-74.01431,0.0,0.0,511.0,CORNUCOPIA MAJESTY,,WDH5940,60.0,0.0,53.0,19.0,,60.0,A
553,367309210.0,2023-01-01T00:00:02,29.94852,-90.06195,0.0,297.9,511.0,CREOLE QUEEN,,WRC5373,60.0,15.0,49.0,11.0,,60.0,A
554,366878290.0,2023-01-01T00:00:00,36.85926,-76.34514,0.0,195.8,511.0,RAM XV,IMO8767305,WDB2653,90.0,15.0,33.0,19.0,2.1,95.0,A
555,367419770.0,2023-01-01T00:00:04,29.35763,-90.2513,0.0,136.9,511.0,MS JANE,IMO8978150,WDE9656,60.0,0.0,29.0,7.0,,70.0,A
556,366904910.0,2023-01-01T00:00:03,41.73298,-82.51353,8.5,24.8,25.0,KAYE E BARKER,IMO5097450,WCF3012,70.0,0.0,233.0,21.0,8.0,70.0,A
557,369550000.0,2023-01-01T00:00:05,27.31617,-90.753,0.2,141.0,190.0,Q4000,IMO8767123,WDA6676,90.0,0.0,95.0,62.0,15.1,99.0,A
558,368102380.0,2023-01-01T00:00:03,38.53859,-90.25542,0.0,192.8,511.0,WENDY ANN,IMO0008171,WDK9305,52.0,0.0,0.0,0.0,0.0,52.0,A
559,367767860.0,2023-01-01T00:00:02,29.87868,-89.8994,0.0,266.8,511.0,MISS EMERSON,,WDJ3421,60.0,15.0,,,,30.0,A
560,367030568.0,2023-01-01T00:00:05,47.65886,-122.37916,0.0,344.7,511.0,LADY KATE,,WCW8353,30.0,0.0,0.0,0.0,0.0,30.0,A
561,367317630.0,2023-01-01T00:00:01,29.41358,-94.73449,4.9,44.8,511.0,SEA WOLF,,WDD9887,31.0,0.0,15.0,6.0,,31.0,A
562,368083470.0,2023-01-01T00:00:05,38.79626,-84.16472,0.4,299.5,274.0,RALPH C,,WDK7339,57.0,12.0,307.0,18.0,3.3,52.0,A
563,368085190.0,2023-01-01T00:00:04,29.7639,-91.76484,2.2,264.6,273.0,MARTIN,,WDK7522,57.0,12.0,207.0,18.0,3.1,57.0,A
564,368097160.0,2023-01-01T00:00:03,30.05838,-93.60793,3.2,84.9,86.0,HALLIE M MERRICK,,WDK8764,57.0,12.0,146.0,22.0,2.6,57.0,A
565,368060930.0,2023-01-01T00:00:02,30.13254,-90.92081,0.0,239.2,511.0,GUN RUNNER,,WDK5024,31.0,0.0,18.0,6.0,3.0,31.0,A
566,368243280.0,2023-01-01T00:00:02,38.92746,-82.11588,0.0,360.0,23.0,CAPT STOGIE WHITE,,WDM8436,31.0,0.0,44.0,10.0,3.2,31.0,A
567,244848000.0,2023-01-01T00:00:00,29.74529,-95.10258,6.9,45.2,44.0,DONAUGRACHT,IMO9420837,PBSY,70.0,0.0,156.0,22.0,10.3,70.0,A
568,367675490.0,2023-01-01T00:00:01,37.05586,-88.5501,0.0,360.0,511.0,DEBBIE GRAHAM,,WDI2177,31.0,15.0,39.0,9.0,,31.0,A
569,367493760.0,2023-01-01T00:00:09,29.1185,-90.20727,0.0,24.5,511.0,TYRANT,IMO9290012,WDF8333,60.0,0.0,47.0,8.0,,90.0,A
570,367325760.0,2023-01-01T00:00:01,29.93547,-89.99012,0.4,305.4,235.0,BLACK BEARD,,WDE2474,31.0,0.0,20.0,8.0,,31.0,A
571,477554000.0,2023-01-01T00:00:01,33.5827,-118.50005,3.0,162.2,170.0,SAGA BEIJA-FLOR,IMO9160798,VRVN8,70.0,0.0,199.0,30.0,11.8,70.0,A
572,240975000.0,2023-01-01T00:00:04,26.24613,-91.08288,13.3,140.0,143.0,KIMOLOS,IMO9405540,SVAV7,80.0,0.0,183.0,32.0,13.3,80.0,A
573,345140007.0,2023-01-01T00:00:03,22.22352,-97.89472,0.1,308.9,511.0,TULA,IMO9283734,XCRC4,80.0,15.0,183.0,32.0,12.2,80.0,A
574,309905000.0,2023-01-01T00:00:03,31.35579,-80.28071,16.6,58.9,58.0,GARNET LEADER,IMO9357327,C6WE4,70.0,0.0,199.0,32.0,10.0,70.0,A
575,368276970.0,2023-01-01T00:00:05,34.95545,-90.26014,9.4,117.4,113.0,LARRY WALKER,,WDN3992,31.0,12.0,37.0,10.0,2.8,31.0,A
576,367060490.0,2023-01-01T00:00:00,37.0229,-88.2828,0.0,202.5,511.0,BRIAN RAFFERTY,,WDC6732,31.0,12.0,41.0,11.0,,57.0,A
577,316027734.0,2023-01-01T00:00:03,49.28634,-123.10075,0.0,302.0,511.0,VFPA5,,CFK5370,53.0,0.0,13.0,3.0,1.8,53.0,A
578,366963830.0,2023-01-01T00:00:01,30.11529,-90.97783,0.0,30.5,511.0,SHELLEY,,WDB8765,31.0,0.0,18.0,8.0,,52.0,A
579,368231340.0,2023-01-01T00:00:00,30.67,-81.46667,0.0,329.3,24.0,WAYPOINT,,,37.0,0.0,18.0,6.0,1.8,37.0,A
580,368184910.0,2023-01-01T00:00:09,29.72045,-93.86516,0.0,176.9,233.0,SPINDLETOP,,WDM2079,50.0,0.0,27.0,7.0,0.0,50.0,A
581,367060130.0,2023-01-01T00:00:00,29.68504,-91.15058,0.0,234.1,511.0,MISS AIMEE,,WDI4240,0.0,0.0,16.0,8.0,2.3,0.0,A
582,367562810.0,2023-01-01T00:00:03,29.73055,-95.05132,0.0,277.7,304.0,GARY REED,,WDG6997,31.0,0.0,26.0,9.0,,57.0,A
583,311000246.0,2023-01-01T00:00:09,23.09249,-79.44195,20.4,293.7,293.0,CREOLE SPIRIT,IMO9681687,C6BF3,80.0,0.0,294.0,,,89.0,A
